timestamp,open,high,low,close,volume
1672540680,16552.42000000,16554.03000000,16551.23000000,16552.04000000,27.36441000
1672540740,16551.70000000,16552.64000000,16548.20000000,16548.99000000,82.02657000
1672540800,16549.50000000,16550.37000000,16544.50000000,16545.78000000,108.26860000
1672540860,16546.12000000,16547.04000000,16543.19000000,16544.01000000,68.23785000
1672540920,16543.98000000,16545.27000000,16542.42000000,16542.59000000,39.60619000
1672540980,16542.59000000,16543.19000000,16541.68000000,16542.14000000,34.68860000
1672541040,16542.14000000,16542.59000000,16538.38000000,16538.77000000,61.14629000
1672541100,16538.77000000,16544.69000000,16538.14000000,16543.55000000,78.08839000
1672541160,16543.47000000,16546.51000000,16542.41000000,16545.88000000,61.18061000
1672541220,16545.89000000,16546.91000000,16544.88000000,16545.60000000,42.27913000
1672541280,16545.61000000,16547.01000000,16545.00000000,16545.74000000,29.54603000
1672541340,16545.42000000,16546.85000000,16545.08000000,16546.22000000,33.67256000
1672541400,16546.22000000,16546.22000000,16544.61000000,16545.20000000,48.82788000
1672541460,16545.20000000,16546.97000000,16544.74000000,16546.53000000,68.37310000
1672541520,16546.09000000,16547.12000000,16544.78000000,16546.23000000,69.81948000
1672541580,16546.22000000,16547.20000000,16545.63000000,16547.13000000,78.26527000
1672541640,16547.13000000,16547.24000000,16544.54000000,16546.33000000,43.98056000
1672541700,16545.77000000,16547.13000000,16545.01000000,16546.07000000,25.96276000
1672541760,16546.07000000,16549.12000000,16545.80000000,16547.20000000,49.68595000
1672541820,16547.21000000,16548.03000000,16546.39000000,16547.18000000,24.44029000
1672541880,16547.18000000,16547.99000000,16546.35000000,16547.12000000,38.47918000
1672541940,16546.72000000,16548.60000000,16546.71000000,16548.19000000,39.09584000
1672542000,16548.19000000,16548.19000000,16531.47000000,16533.94000000,344.42893000
1672542060,16533.31000000,16534.75000000,16527.37000000,16534.67000000,196.14205000
1672542120,16534.22000000,16534.66000000,16523.34000000,16527.37000000,146.86195000
1672542180,16527.37000000,16530.45000000,16525.76000000,16530.36000000,110.42527000
1672542240,16529.90000000,16532.88000000,16527.68000000,16529.36000000,112.97947000
1672542300,16529.36000000,16531.51000000,16526.00000000,16530.02000000,103.79157000
1672542360,16530.02000000,16532.02000000,16528.33000000,16530.51000000,53.01004000
1672542420,16530.07000000,16532.86000000,16528.99000000,16531.77000000,93.64636000
1672542480,16532.16000000,16532.16000000,16529.17000000,16530.95000000,42.47108000
1672542540,16530.51000000,16531.92000000,16529.18000000,16530.40000000,34.31391000
1672542600,16529.97000000,16531.30000000,16527.88000000,16530.24000000,74.11761000
1672542660,16530.89000000,16531.43000000,16527.63000000,16529.27000000,61.80057000
1672542720,16529.27000000,16530.00000000,16528.11000000,16528.24000000,34.37465000
1672542780,16528.61000000,16531.27000000,16528.11000000,16529.31000000,84.86089000
1672542840,16529.82000000,16530.50000000,16526.72000000,16527.87000000,66.19778000
1672542900,16527.44000000,16530.21000000,16523.14000000,16526.71000000,163.34107000
1672542960,16526.71000000,16527.40000000,16525.88000000,16526.20000000,32.28769000
1672543020,16525.88000000,16526.28000000,16518.21000000,16520.71000000,162.14765000
1672543080,16520.71000000,16523.10000000,16519.70000000,16521.39000000,113.79145000
1672543140,16521.80000000,16523.33000000,16518.73000000,16522.52000000,129.29518000
1672543200,16522.53000000,16526.60000000,16521.81000000,16526.51000000,114.71342000
1672543260,16526.51000000,16529.13000000,16524.24000000,16529.11000000,81.00801000
1672543320,16528.46000000,16533.09000000,16526.73000000,16528.53000000,109.71961000
1672543380,16528.12000000,16530.87000000,16528.05000000,16529.70000000,51.36906000
1672543440,16529.69000000,16531.19000000,16527.50000000,16528.72000000,59.46207000
1672543500,16528.28000000,16529.91000000,16527.31000000,16529.01000000,39.37277000
1672543560,16529.37000000,16529.68000000,16528.10000000,16529.13000000,34.52870000
1672543620,16529.13000000,16531.30000000,16528.15000000,16529.81000000,58.59914000
1672543680,16529.82000000,16530.41000000,16527.35000000,16529.19000000,56.20068000
1672543740,16528.71000000,16531.22000000,16528.18000000,16529.89000000,47.54178000
1672543800,16529.89000000,16531.13000000,16527.89000000,16530.19000000,56.52970000
1672543860,16530.76000000,16530.76000000,16526.74000000,16527.95000000,56.84361000
1672543920,16528.37000000,16530.64000000,16527.34000000,16530.32000000,41.16698000
1672543980,16529.90000000,16534.16000000,16529.89000000,16533.79000000,72.51560000
1672544040,16533.34000000,16534.66000000,16531.83000000,16533.77000000,49.77651000
1672544100,16533.76000000,16533.76000000,16532.21000000,16532.56000000,40.14831000
1672544160,16532.21000000,16533.64000000,16532.04000000,16532.70000000,31.42166000
1672544220,16532.70000000,16533.86000000,16532.26000000,16533.04000000,50.64156000
1672544280,16532.60000000,16534.52000000,16532.31000000,16533.38000000,48.56591000
1672544340,16533.84000000,16537.17000000,16533.45000000,16536.83000000,71.81884000
1672544400,16536.83000000,16537.42000000,16532.87000000,16533.40000000,70.89012000
1672544460,16533.40000000,16534.80000000,16532.07000000,16533.63000000,25.65305000
1672544520,16533.63000000,16534.02000000,16532.24000000,16532.93000000,33.63910000
1672544580,16532.54000000,16534.59000000,16531.55000000,16533.89000000,39.92714000
1672544640,16533.89000000,16534.81000000,16532.55000000,16533.68000000,36.67381000
1672544700,16533.68000000,16534.92000000,16532.60000000,16533.26000000,31.56539000
1672544760,16533.37000000,16533.53000000,16530.10000000,16531.03000000,49.09853000
1672544820,16531.47000000,16532.04000000,16529.66000000,16531.84000000,33.18447000
1672544880,16531.84000000,16532.51000000,16530.09000000,16531.11000000,36.62709000
1672544940,16531.10000000,16533.77000000,16530.50000000,16532.56000000,48.33701000
1672545000,16532.56000000,16534.18000000,16529.53000000,16531.65000000,84.14289000
1672545060,16531.65000000,16532.34000000,16529.59000000,16531.75000000,48.14049000
1672545120,16531.26000000,16533.99000000,16531.26000000,16532.93000000,69.61228000
1672545180,16532.93000000,16532.93000000,16531.00000000,16532.16000000,25.34073000
1672545240,16532.62000000,16537.72000000,16531.46000000,16537.09000000,72.94838000
1672545300,16537.09000000,16537.37000000,16533.95000000,16534.54000000,71.56543000
1672545360,16534.96000000,16536.00000000,16534.01000000,16535.46000000,29.93117000
1672545420,16535.46000000,16537.24000000,16534.70000000,16534.71000000,37.69117000
1672545480,16534.71000000,16535.04000000,16533.12000000,16534.47000000,23.74968000
1672545540,16534.19000000,16534.56000000,16532.51000000,16533.04000000,41.13348000
1672545600,16533.04000000,16534.23000000,16531.60000000,16533.12000000,100.03658000
1672545660,16533.12000000,16533.25000000,16532.19000000,16532.89000000,15.30673000
1672545720,16532.47000000,16534.07000000,16531.83000000,16533.71000000,40.58613000
1672545780,16533.41000000,16535.97000000,16533.07000000,16533.71000000,40.96532000
1672545840,16533.47000000,16533.82000000,16532.53000000,16533.55000000,17.40268000
1672545900,16533.55000000,16533.78000000,16531.68000000,16532.41000000,32.67459000
1672545960,16532.25000000,16535.30000000,16531.40000000,16533.49000000,68.66991000
1672546020,16533.49000000,16534.28000000,16527.63000000,16530.49000000,123.73083000
1672546080,16530.06000000,16531.54000000,16526.41000000,16528.43000000,111.51988000
1672546140,16528.87000000,16529.26000000,16526.50000000,16527.15000000,55.14581000
1672546200,16526.74000000,16529.25000000,16526.58000000,16527.43000000,58.66271000
1672546260,16527.27000000,16528.91000000,16526.12000000,16526.91000000,53.20915000
1672546320,16526.57000000,16529.20000000,16526.35000000,16527.97000000,42.23500000
1672546380,16527.54000000,16528.64000000,16526.00000000,16526.38000000,27.87219000
1672546440,16526.38000000,16527.02000000,16524.57000000,16526.12000000,52.00904000
1672546500,16526.12000000,16526.98000000,16524.52000000,16526.29000000,57.22778000
1672546560,16526.29000000,16526.72000000,16524.25000000,16526.37000000,43.00861000
1672546620,16526.01000000,16530.25000000,16525.00000000,16529.53000000,84.54185000
1672546680,16529.57000000,16529.89000000,16528.39000000,16529.80000000,41.87805000
1672546740,16529.55000000,16530.19000000,16524.85000000,16527.43000000,100.99753000
1672546800,16527.43000000,16528.74000000,16522.00000000,16524.27000000,172.73190000
1672546860,16524.27000000,16524.77000000,16516.49000000,16520.78000000,293.33574000
1672546920,16520.78000000,16524.67000000,16519.15000000,16524.12000000,76.94408000
1672546980,16524.67000000,16524.67000000,16519.78000000,16521.07000000,110.05591000
1672547040,16521.49000000,16522.58000000,16518.28000000,16520.71000000,96.50874000
1672547100,16521.15000000,16521.53000000,16518.80000000,16519.95000000,60.20937000
1672547160,16519.95000000,16523.16000000,16519.07000000,16522.54000000,71.90953000
1672547220,16522.54000000,16523.53000000,16521.14000000,16522.12000000,75.05207000
1672547280,16522.51000000,16523.17000000,16520.87000000,16521.27000000,41.32896000
1672547340,16521.27000000,16523.34000000,16517.19000000,16518.59000000,85.60696000
1672547400,16518.31000000,16519.73000000,16517.68000000,16517.85000000,63.32010000
1672547460,16517.85000000,16519.91000000,16517.58000000,16519.70000000,61.25864000
1672547520,16519.53000000,16520.08000000,16518.52000000,16519.51000000,26.12073000
